2,大类编码,大类名称,中类编码,中类名称,小类编码,小类名称,销售日期,销售月份,商品编码,规格型号,商品类型,单位,销售数量,销售金额,商品单价,是否促销
0,12,蔬果,1201,蔬菜,120109,其它蔬菜,20150101,201501,DW-1201090311, ,生鲜,个,8,4,2,否
1,20,粮油,2014,酱菜类,201401,榨菜,20150101,201501,DW-2014010019,60g,一般商品,袋,6,3,0.5,否
2,15,日配,1505,冷藏乳品,150502,冷藏加味酸乳,20150101,201501,DW-1505020011,150g,一般商品,袋,1,2.4,2.4,否
3,15,日配,1503,冷藏料理,150305,冷藏面食类,20150101,201501,DW-1503050035,500g,一般商品,袋,1,6.5,8.3,否
4,15,日配,1505,冷藏乳品,150502,冷藏加味酸乳,20150101,201501,DW-1505020020,100g*8,一般商品,袋,1,11.9,11.9,否
5,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020109,10片,一般商品,包,1,8.9,8.9,否
6,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040022,散称,生鲜,千克,0.964,8.07,5.6,否
7,20,粮油,2001,袋装速食面,200101,牛肉口味,20150101,201501,DW-2001010062,120g,一般商品,袋,1,2.5,3,否
8,13,熟食,1308,现制中式面点,130803,现制烙类,20150101,201501,DW-1308030035,个,生鲜,个,2,2,1,否
9,22,休闲,2203,膨化点心,220302,袋装薯片,20150101,201501,DW-2203020029,45g,一般商品,袋,1,4,4,否
10,22,休闲,2201,饼干,220111,趣味/休闲,20150101,201501,DW-2201110227,60g,一般商品,盒,1,6.5,6.7,否
11,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040016,散称,生鲜,千克,0.784,1.25,1.6,否
11,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040035,散称,生鲜,千克,0.401,3.85,9.6,否
12,15,日配,1521,蛋类,152101,新鲜蛋品,20150101,201501,DW-1521010005,散称,一般商品,千克,0.744,5.04,6.78,否
13,13,熟食,1301,凉拌熟食,130101,凉拌素食,20150101,201501,DW-1301010076,散称,联营商品,kg,0.282,5.64,20,否
14,20,粮油,2011,液体调料,201111,料酒,20150101,201501,DW-2011110019,500mL,一般商品,瓶,1,5.5,5.5,否
15,10,肉禽,1004,鸡产品,100404,调味鸡肉,20150101,201501,DW-1004040019,散称,生鲜,Kg,0.64,12.54,19.6,否
16,31,家居,3119,卫浴用品,311902,浴球和浴花,20150101,201501,DW-3119020077,202,一般商品,只,1,3,3,否
7,34,针织,3412,毯子,341206,双人电热毯,20150101,201501,DW-3412060037,150*120,一般商品,条,1,79,90,是
17,22,休闲,2201,饼干,220110,简装/压缩,20150101,201501,DW-2201100015,散称,一般商品,KG,0.198,2.7,19.8,是
17,22,休闲,2206,即食熟制品,220607,豆干类,20150101,201501,DW-2206070072,散称,一般商品,千克,0.228,13.45,59,否
18,20,粮油,2013,调味酱,201302,辣酱,20150101,201501,DW-2013020105,280g,一般商品,瓶,1,7.9,7.9,否
19,15,日配,1518,常温乳品,151805,利乐枕纯奶,20150101,201501,DW-1518050007,240ml,一般商品,袋,16,33.9,2.7,是
19,20,粮油,2011,液体调料,201102,生抽酱油,20150101,201501,DW-2011020021,500ml,一般商品,瓶,1,7.9,7.9,否
19,30,洗化,3008,洗护发用品,300801,洗发水,20150101,201501,DW-3008010289,200ml,一般商品,瓶,1,9.5,9.5,否
2,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040010,散称,生鲜,千克,0.708,1.83,2.58,否
2,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040036,散称,生鲜,千克,0.636,1.14,1.8,否
20,20,粮油,2007,南北干货,200701,木耳,20150101,201501,DW-2007010021,散称,一般商品,kg,0.132,8.28,89.8,是
2,12,蔬果,1203,水果,120303,梨类,20150101,201501,DW-1203030177,散称,生鲜,KG,1.922,6.11,3.18,否
21,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020025,散称,生鲜,千克,0.656,1.68,2.56,否
16,30,洗化,3008,洗护发用品,300802,润发护发,20150101,201501,DW-3008020423,400ml,一般商品,瓶,1,37.9,37.9,否
22,14,烘焙,1403,现制西式糕点,140301,现制西式糕点,20150101,201501,DW-1403010085,散称,生鲜,千克,0.384,6.14,16,否
18,12,蔬果,1201,蔬菜,120102,根茎,20150101,201501,DW-1201020029,散称,生鲜,千克,0.988,3.91,3.96,否
19,30,洗化,3010,婴幼儿用品,301004,婴幼儿护肤用品,20150101,201501,DW-3010040031,25g,一般商品,袋,1,1.5,1.5,否
23,20,粮油,2002,袋装速食面组,200202,猪肉口味,20150101,201501,DW-2002020017,119g*5,一般商品,组,1,10.9,14.7,是
24,13,熟食,1308,现制中式面点,130803,现制烙类,20150101,201501,DW-1308030035,个,生鲜,个,2,2,1,否
5,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150101,201501,DW-3018020117,4片,一般商品,包,1,4.7,4.7,否
25,20,粮油,2006,五谷杂粮,200603,常规面粉,20150101,201501,DW-2006030007,5Kg,一般商品,袋,1,33.9,33.9,否
25,20,粮油,2006,五谷杂粮,200608,杂粮粉,20150101,201501,DW-2006080036,散称,一般商品,公斤,1.006,4.61,4.58,否
26,31,家居,3117,厨房清洁,311704,抹布,20150101,201501,DW-3117040018,1片装,一般商品,袋,1,9.9,9.9,否
11,13,熟食,1302,卤制熟食,130201,卤制畜类,20150101,201501,DW-1302010084,散称,联营商品,kg,0.258,20.64,80,否
